GAME_ID,TEAM_ID,TEAM_NAME,SEASON_ID,MATCHUP,WL,AVG_PLAYER_PLAYTIME_PG_PT,AVG_PLAYER_PLAYTIME_PG_PT_S5,AVG_CNT_PLAYER_PLAYTIME_PG_PT,AVG_CNT_PLAYER_PLAYTIME_PG_PT_S5,HOME_TEAM,WIN,BUBBLE
41900235,1610612743,Nuggets,42019,DEN @ LAC,W,1600.0,2058.6,423.52941176470614,605.4705882352939,0,1,1
41900235,1610612746,Clippers,42019,LAC vs. DEN,L,1440.0,2130.0200000000004,334.88372093023276,426.00400000000013,1,0,1
41900236,1610612743,Nuggets,42019,DEN vs. LAC,W,1309.0909090909088,1967.2,450.0,578.5882352941178,1,1,1
41900236,1610612746,Clippers,42019,LAC @ DEN,L,1200.0,1893.9,351.21951219512215,450.92857142857144,0,0,1
41900237,1610612743,Nuggets,42019,DEN @ LAC,W,1200.0,2204.88,496.5517241379311,734.9599999999997,0,1,1
41900237,1610612746,Clippers,42019,LAC vs. DEN,L,1200.0,1828.92,389.1891891891895,481.29473684210535,1,0,1
41900301,1610612738,Celtics,42019,BOS vs. MIA,L,1590.0,2501.96,467.6470588235296,595.704761904762,1,0,1
41900301,1610612748,Heat,42019,MIA @ BOS,W,1589.9999999999998,2166.62,397.5,541.655,0,1,1
41900302,1610612738,Celtics,42019,BOS vs. MIA,L,1440.0,2212.62,423.52941176470614,526.8142857142855,1,0,1
41900302,1610612748,Heat,42019,MIA @ BOS,W,1440.0000000000002,2087.3,450.0,521.825,0,1,1
41900303,1610612738,Celtics,42019,BOS @ MIA,W,1600.0,2220.04,389.1891891891895,462.50833333333327,0,1,1
41900303,1610612748,Heat,42019,MIA vs. BOS,L,1440.0,1964.36,411.4285714285711,427.0347826086956,1,0,1
41900304,1610612738,Celtics,42019,BOS @ MIA,L,1440.0,2168.4,480.0,542.1000000000001,0,0,1
41900304,1610612748,Heat,42019,MIA vs. BOS,W,1800.0,2075.22,450.0,471.64090909090913,1,1,1
41900305,1610612738,Celtics,42019,BOS vs. MIA,W,1600.0,2235.52,480.0,532.2666666666665,1,1,1
41900305,1610612748,Heat,42019,MIA @ BOS,L,1440.0,2160.12,436.36363636363615,490.9363636363634,0,0,1
41900306,1610612738,Celtics,42019,BOS @ MIA,L,1440.0,2118.1400000000003,450.0,529.535,0,0,1
41900306,1610612748,Heat,42019,MIA vs. BOS,W,1800.0,2070.46,514.2857142857139,544.8578947368421,1,1,1
41900311,1610612743,Nuggets,42019,DEN @ LAL,L,1200.0,1655.2,411.4285714285711,551.7333333333335,0,0,1
41900311,1610612747,Lakers,42019,LAL vs. DEN,W,1107.692307692308,1533.4,400.0,479.1875,1,1,1
41900312,1610612743,Nuggets,42019,DEN @ LAL,L,1440.0,1923.56,464.516129032258,565.7529411764707,0,0,1
41900312,1610612747,Lakers,42019,LAL vs. DEN,W,1440.0,1765.6,411.4285714285711,464.63157894736844,1,1,1
41900313,1610612743,Nuggets,42019,DEN vs. LAL,W,1600.0,2137.54,533.3333333333335,593.7611111111111,1,1,1
41900313,1610612747,Lakers,42019,LAL @ DEN,L,1440.0,1620.6,496.5517241379311,623.3076923076923,0,0,1
41900314,1610612743,Nuggets,42019,DEN vs. LAL,L,1440.0,1907.9599999999998,436.36363636363615,529.9888888888889,1,0,1
41900314,1610612747,Lakers,42019,LAL @ DEN,W,1440.0,1885.6,514.2857142857141,589.25,0,1,1
41900315,1610612743,Nuggets,42019,DEN @ LAL,L,1440.0,1951.0,576.0,696.7857142857144,0,0,1
41900315,1610612747,Lakers,42019,LAL vs. DEN,W,1440.0,1972.0,464.5161290322577,493.0,1,1,1
41900401,1610612747,Lakers,42019,LAL vs. MIA,W,1200.0,1792.2,389.1891891891895,497.83333333333326,1,1,1
