GAME_ID,TEAM_ID,TEAM_NAME,SEASON_ID,MATCHUP,WIN,BUBBLE,PERSON_ID,PLAYER_FIRST,PLAYER_LAST,TEAM_CITY,HOME_TEAM,STARTING_5,DURATION,PLAYTIME_PP_PG,MIN 01,MIN 02,MIN 03,MIN 04,MIN 05,MIN 06,MIN 07,MIN 08,MIN 09,MIN 10,MIN 11,MIN 12,MIN 13,MIN 14,MIN 15,MIN 16,MIN 17,MIN 18,MIN 19,MIN 20,MIN 21,MIN 22,MIN 23,MIN 24,MIN 25,MIN 26,MIN 27,MIN 28,MIN 29,MIN 30,MIN 31,MIN 32,MIN 33,MIN 34,MIN 35,MIN 36,MIN 37,MIN 38,MIN 39,MIN 40,MIN 41,MIN 42,MIN 43,MIN 44,MIN 45,MIN 46,MIN 47,MIN 48
41600175,1610612762,Jazz,42016,UTA @ LAC,1,0,2564,Boris,Diaw,Utah,0,True,286.6666666666667,860.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41600175,1610612762,Jazz,42016,UTA @ LAC,1,0,201588,George,Hill,Utah,0,True,536.5,2146.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1
41600175,1610612762,Jazz,42016,UTA @ LAC,1,0,202324,Derrick,Favors,Utah,0,False,237.33333333333334,712.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
41600175,1610612762,Jazz,42016,UTA @ LAC,1,0,202330,Gordon,Hayward,Utah,0,True,611.4,2445.6,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
41600175,1610612762,Jazz,42016,UTA @ LAC,1,0,203497,Rudy,Gobert,Utah,0,True,717.8000000000001,2153.4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
41600175,1610612762,Jazz,42016,UTA @ LAC,1,0,203526,Raul,Neto,Utah,0,False,244.0,488.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
41600175,1610612762,Jazz,42016,UTA @ LAC,1,0,203918,Rodney,Hood,Utah,0,False,351.4,1757.0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
41600175,1610612762,Jazz,42016,UTA @ LAC,1,0,203957,Dante,Exum,Utah,0,False,245.0,245.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41600175,1610612762,Jazz,42016,UTA @ LAC,1,0,204060,Joe,Ingles,Utah,0,True,193.60000000000002,1742.3999999999999,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1
41600176,1610612746,Clippers,42016,LAC @ UTA,1,0,1718,Paul,Pierce,LA Clippers,0,False,434.3333333333333,1303.0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
41600176,1610612746,Clippers,42016,LAC @ UTA,1,0,2037,Jamal,Crawford,LA Clippers,0,False,435.7,1742.8,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
41600176,1610612746,Clippers,42016,LAC @ UTA,1,0,101108,Chris,Paul,LA Clippers,0,True,757.8000000000001,2273.4,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
41600176,1610612746,Clippers,42016,LAC @ UTA,1,0,101109,Raymond,Felton,LA Clippers,0,False,293.325,1173.3,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
41600176,1610612746,Clippers,42016,LAC @ UTA,1,0,200755,JJ,Redick,LA Clippers,0,True,246.18,1230.9,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
41600176,1610612746,Clippers,42016,LAC @ UTA,1,0,201578,Marreese,Speights,LA Clippers,0,False,193.33333333333334,580.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
41600176,1610612746,Clippers,42016,LAC @ UTA,1,0,201599,DeAndre,Jordan,LA Clippers,0,True,575.0,2300.0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
41600176,1610612746,Clippers,42016,LAC @ UTA,1,0,201601,Luc,Mbah a Moute,LA Clippers,0,True,344.6,1723.0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
41600176,1610612746,Clippers,42016,LAC @ UTA,1,0,203085,Austin,Rivers,LA Clippers,0,True,414.71999999999997,2073.6,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
41600176,1610612762,Jazz,42016,UTA vs. LAC,0,0,2207,Joe,Johnson,Utah,1,False,506.25,2025.0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
41600176,1610612762,Jazz,42016,UTA vs. LAC,0,0,2564,Boris,Diaw,Utah,1,True,213.75,855.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
41600176,1610612762,Jazz,42016,UTA vs. LAC,0,0,201588,George,Hill,Utah,1,True,315.06666666666666,1890.3999999999999,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1
41600176,1610612762,Jazz,42016,UTA vs. LAC,0,0,202324,Derrick,Favors,Utah,1,False,291.0,873.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1
41600176,1610612762,Jazz,42016,UTA vs. LAC,0,0,202330,Gordon,Hayward,Utah,1,True,842.6666666666666,2528.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
41600176,1610612762,Jazz,42016,UTA vs. LAC,0,0,203497,Rudy,Gobert,Utah,1,True,669.0,2007.0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0
41600176,1610612762,Jazz,42016,UTA vs. LAC,0,0,203526,Raul,Neto,Utah,1,False,203.40000000000003,813.6000000000001,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
41600176,1610612762,Jazz,42016,UTA vs. LAC,0,0,203918,Rodney,Hood,Utah,1,False,366.5,1466.0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
41600176,1610612762,Jazz,42016,UTA vs. LAC,0,0,204060,Joe,Ingles,Utah,1,True,485.5,1942.0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
41600177,1610612746,Clippers,42016,LAC vs. UTA,0,0,1718,Paul,Pierce,LA Clippers,1,False,322.4,1289.6,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
41600177,1610612746,Clippers,42016,LAC vs. UTA,0,0,2037,Jamal,Crawford,LA Clippers,1,False,481.25,1925.0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
41600177,1610612746,Clippers,42016,LAC vs. UTA,0,0,101108,Chris,Paul,LA Clippers,1,True,600.65,2402.6,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
